method,seed,latent_dim,beta,n_clusters,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity,n_samples_silhouette
vae_kmeans,42,16,0.01,4,0.07019234448671341,731.3858084914133,2.5939751082960534,0.028766637600250538,0.02597766835256029,0.5555444455554445,3000
vae_gmm,42,16,0.01,4,0.0437169186770916,372.09075701490667,3.7228131927427417,0.039970351390203135,0.09550820711519852,0.531946805319468,3000
vae_kmeans,42,16,0.01,5,0.07085972279310226,669.0495106505615,2.4585925218771956,0.0356021819963822,0.03392059052572598,0.57994200579942,3000
vae_gmm,42,16,0.01,5,0.011422579176723957,410.0144709096813,3.4631371333363448,0.16860974387490218,0.1958045552307319,0.5820417958204179,3000
vae_kmeans,42,16,0.01,6,0.06781351566314697,615.2060044110817,2.5097891382687347,0.029024685935020226,0.033063063193447234,0.5782421757824218,3000
vae_gmm,42,16,0.01,6,0.02287018857896328,317.3922728889421,3.6166996146274655,0.06002303311015063,0.14557221186911323,0.5605439456054394,3000
vae_kmeans,42,16,0.01,7,0.06815826147794724,577.9108705720968,2.389135680391207,0.07033102605705302,0.16044297150500836,0.605039496050395,3000
vae_gmm,42,16,0.01,7,0.003820587182417512,322.2756303681101,3.537474554577016,0.06053496156574466,0.13047953733889653,0.5751424857514249,3000
vae_kmeans,42,16,0.01,8,0.06716819107532501,544.4285873008514,2.3297212583892186,0.053692865350624355,0.14618192957797363,0.5992400759924008,3000
vae_gmm,42,16,0.01,8,0.028553679585456848,309.72197211683516,3.2829266151609606,0.05416748965586909,0.1888354991421979,0.5714428557144285,3000
vae_kmeans,42,16,0.01,9,0.06724366545677185,515.232519632129,2.2776299279842602,0.04433052436649239,0.14551085862935678,0.5974402559744025,3000
vae_gmm,42,16,0.01,9,0.006862358655780554,264.2116369896425,3.7064606242361204,0.050749911925739015,0.17414387140452603,0.5621437856214379,3000
vae_kmeans,42,16,0.01,10,0.06603553891181946,490.3929447760539,2.2775203582712904,0.040595747428361195,0.14021597524343157,0.5948405159484051,3000
vae_gmm,42,16,0.01,10,0.01450672373175621,271.1075450484046,3.482359127190496,0.04871813560773577,0.1719371400841622,0.5617438256174383,3000
vae_kmeans,42,16,0.01,11,0.06306849420070648,471.2689782620044,2.2724804741408544,0.041386506574744825,0.12973583680045606,0.5916408359164084,3000
